"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score"
"FT","2018-05-14","98.1","-2.7788","6.2216","Mookie Betts",605141,595014,"field_out","hit_into_play",,,,,"14","Mookie Betts grounds out, shortstop Marcus Semien to first baseman Matt Olson.  ","R","R","R","BOS","OAK","X",6,"ground_ball",1,0,2018,"-1.1597","0.2969","0.1955","1.1260","null","null","null",2,9,"Bot","112.36","151.21",,,518960,,"180515_015207","10.4853","-141.9942","-8.7355","-17.8274","34.8794","-26.3897","3.1090","1.2596","30","77.5","0.7680","96.2580","2427","5.6960",530022,595014,518960,621566,476704,656305,543760,459964,641583,592192,"54.8044","0.165","0.164","0.00",1,0,0,2,74,"2","2-Seam Fastball",5,6,5,6,6,5,5,6
"SL","2018-05-14","90.7","-2.9810","6.1237","Mookie Betts",605141,595014,"null","ball",,,,,"14","null","R","R","R","BOS","OAK","B","null","null",0,0,2018,"0.6627","-0.5089","0.8667","0.6548","null","null","null",2,9,"Bot","null","null",,,518960,,"180515_015141","8.1049","-131.7531","-6.6212","5.9502","25.4603","-36.9072","3.2265","1.4949","null","null","null","89.4300","2839","5.4010",530022,595014,518960,621566,476704,656305,543760,459964,641583,592192,"55.0990","null","null","null","null","null","null","null",74,"1","Slider",5,6,5,6,6,5,5,6
"FF","2018-05-14","89.4","-0.7054","5.5058","Mookie Betts",605141,433589,"field_out","hit_into_play",,,,,"6","Mookie Betts flies out to left fielder Matt Joyce.  ","R","R","R","BOS","OAK","X",7,"fly_ball",1,1,2018,"-0.4419","1.4763","0.7844","2.1910","null","null","506702.00",0,7,"Bot","103.72","89.23",,,518960,,"180515_012018","4.7125","-130.1962","-5.4324","-6.1890","28.8253","-13.9611","3.1090","1.2597","241","86.1","50.9600","90.6970","2282","7.1590",530022,433589,518960,621566,476704,656305,543760,459964,641583,592192,"53.3416","0.009","0.008","0.00",1,0,0,3,58,"3","4-Seam Fastball",4,5,4,5,5,4,4,5
"FC","2018-05-14","85.6","-0.8407","5.5398","Mookie Betts",605141,433589,"null","called_strike",,,,,"9","null","R","R","R","BOS","OAK","S","null","null",1,0,2018,"-0.2821","1.4978","0.3933","1.5129","null","null","506702.00",0,7,"Bot","null","null",,,518960,,"180515_011945","3.5484","-124.6912","-6.4552","-3.7034","23.8663","-15.0548","3.2500","1.5420","null","null","null","87.0270","2265","7.0310",530022,433589,518960,621566,476704,656305,543760,459964,641583,592192,"53.4698","null","null","null","null","null","null","null",58,"2","Cutter",4,5,4,5,5,4,4,5
"FF","2018-05-14","88.8","-0.6615","5.5627","Mookie Betts",605141,433589,"null","ball",,,,,"12","null","R","R","R","BOS","OAK","B","null","null",0,0,2018,"-0.4447","1.3435","1.0015","3.0836","null","null","506702.00",0,7,"Bot","null","null",,,518960,,"180515_011923","5.1055","-129.4291","-2.9392","-6.2110","28.1525","-16.3138","3.2735","1.5655","null","null","null","89.9980","2242","7.0320",530022,433589,518960,621566,476704,656305,543760,459964,641583,592192,"53.4689","null","null","null","null","null","null","null",58,"1","4-Seam Fastball",4,5,4,5,5,4,4,5
"SL","2018-05-14","79.5","3.5241","5.5364","Mookie Betts",605141,640455,"double","hit_into_play_no_out",,,,,"7","Mookie Betts doubles (16) on a sharp line drive to left fielder Matt Joyce.   Sandy Leon to 3rd.  ","R","R","L","BOS","OAK","X","null","line_drive",0,2,2018,"-0.1441","0.0921","-0.3356","1.7536","null","null","506702.00",0,5,"Bot","73.24","72.47",,,518960,,"180515_004233","-8.1899","-115.4942","-1.5911","0.4585","24.4810","-31.2611","3.1090","1.2597","385","106.4","20.9410","79.0710","1880","6.3980",530022,640455,518960,621566,476704,656305,543760,459964,641583,592192,"54.1025","0.922","1.562","1.25",1,1,1,6,41,"4","Slider",2,4,2,4,4,2,2,4
"FF","2018-05-14","90.2","3.5243","5.3527","Mookie Betts",605141,640455,"null","foul",,,,,"2","null","R","R","L","BOS","OAK","S","null","null",0,2,2018,"1.0749","0.9986","0.0510","2.7852","null","null","506702.00",0,5,"Bot","null","null",,,518960,,"180515_004159","-11.1672","-131.0953","-2.6662","15.0466","26.2713","-19.9022","3.1090","1.2597","null","null","null","91.7730","2048","7.1850",530022,640455,518960,621566,476704,656305,543760,459964,641583,592192,"53.3151","null","null","null","null","null","null","null",41,"3","4-Seam Fastball",2,4,2,4,4,2,2,4
"FF","2018-05-14","90.1","3.6298","5.3863","Mookie Betts",605141,640455,"null","foul",,,,,"2","null","R","R","L","BOS","OAK","S","null","null",0,1,2018,"1.2592","1.1197","0.0457","2.6303","null","null","506702.00",0,5,"Bot","null","null",,,518960,,"180515_004132","-11.6916","-130.7814","-3.3016","17.0797","26.6965","-18.6217","3.1090","1.2597","null","null","null","90.7780","2036","6.7670",530022,640455,518960,621566,476704,656305,543760,459964,641583,592192,"53.7333","null","null","null","null","null","null","null",41,"2","4-Seam Fastball",2,4,2,4,4,2,2,4
"FF","2018-05-14","88.2","3.4427","5.4454","Mookie Betts",605141,640455,"null","called_strike",,,,,"8","null","R","R","L","BOS","OAK","S","null","null",0,0,2018,"1.0757","0.7660","0.0620","1.9715","null","null","506702.00",0,5,"Bot","null","null",,,518960,,"180515_004111","-10.5525","-128.2082","-4.0325","14.0652","23.9390","-22.9854","3.3675","1.6360","null","null","null","89.1240","2050","6.7040",530022,640455,518960,621566,476704,656305,543760,459964,641583,592192,"53.7965","null","null","null","null","null","null","null",41,"1","4-Seam Fastball",2,4,2,4,4,2,2,4
"CH","2018-05-14","83.8","3.5198","5.5485","Mookie Betts",605141,640455,"single","hit_into_play_no_out",,,,,"12","Mookie Betts singles on a sharp ground ball to center fielder Dustin Fowler.  ","R","R","L","BOS","OAK","X","null","ground_ball",2,2,2018,"0.9561","-0.0728","1.0323","2.1892","null","null","null",2,3,"Bot","132.17","72.98",,,518960,,"180515_000305","-7.6254","-121.8924","-1.2007","11.0061","23.9303","-32.8795","3.1090","1.2597","127","102.7","6.8290","83.7690","1034","6.2900",530022,640455,518960,621566,476704,656305,543760,459964,641583,592192,"54.2106","0.681","0.638","0.90",1,1,0,4,22,"5","Changeup",0,1,0,1,1,0,0,1
