"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2018-04-27","88.4","1.9842","6.4241","Blake Snell",605141,605483,"double","hit_into_play_score",,,,,"6","Mookie Betts doubles (9) on a sharp fly ball to center fielder Mallex Smith.   Christian Vazquez scores.  ","R","R","L","BOS","TB","X","null","fly_ball",2,1,2018,"0.9772","0.9977","0.6859","2.0054","null","543877.00","null",1,6,"Bot","107.78","43.52",,,467092,,"180428_005952","-5.2192","-128.4806","-6.7706","11.9474","26.8523","-19.8841","3.1074","1.2581","392","107.7","21.9950","88.5500","1703","6.4700",529798,605483,467092,543543,621002,622110,588751,608701,605480,460576,"54.0307","0.972","1.841","1.25",1,1,1,6,44,"4","Changeup",0,4,0,4,4,0,0,4,"Standard","Strategic"
"CU","2018-04-27","81.4","1.8230","6.7955","Blake Snell",605141,605483,"null","blocked_ball",,,,,"14","null","R","R","L","BOS","TB","B","null","null",1,1,2018,"-0.3787","-1.0441","0.2713","0.2470","null","543877.00","null",1,6,"Bot","null","null",,,467092,,"180428_005916","-2.7453","-118.2238","-5.9054","-2.8276","27.4570","-40.6323","3.4690","1.6200","null","null","null","80.2850","2632","6.1320",529798,605483,467092,543543,621002,622110,588751,608701,605480,460576,"54.3689","null","null","null","null","null","null","null",44,"3","Curveball",0,4,0,4,4,0,0,4,"Standard","Strategic"
"CH","2018-04-27","86.5","2.1194","6.4664","Blake Snell",605141,605483,"null","foul",,,,,"6","null","R","R","L","BOS","TB","S","null","null",1,0,2018,"1.2674","1.3208","0.8083","2.3570","null","543877.00","null",1,6,"Bot","null","null",,,"null",,"180428_005833","-5.6005","-125.5493","-6.0811","14.3141","27.7439","-17.4656","3.1074","1.2581","null","null","null","null","1729","5.8403",529798,"null","null","null","null","null","null","null","null","null","54.6606","null","null","null","null","null","null","null",44,"2","Changeup",0,4,0,4,4,0,0,4,"null","null"
"CH","2018-04-27","87.0","2.0875","6.5134","Blake Snell",605141,605483,"null","ball",,,,,"12","null","R","R","L","BOS","TB","B","null","null",0,0,2018,"1.1490","1.5258","1.1746","2.9247","null","543877.00","null",1,6,"Bot","null","null",,,467092,,"180428_005756","-4.5568","-126.5784","-5.5386","13.2939","27.2811","-14.8555","3.4289","1.5597","null","null","null","86.9410","1886","6.3880",529798,605483,467092,543543,621002,622110,588751,608701,605480,460576,"54.1123","null","null","null","null","null","null","null",44,"1","Changeup",0,4,0,4,4,0,0,4,"Standard","Strategic"
"FF","2018-04-27","96.5","1.6039","6.6410","Blake Snell",605141,605483,"walk","ball",,,,,"14","Mookie Betts walks.  ","R","R","L","BOS","TB","B","null","null",3,1,2018,"0.5456","1.5642","0.8260","1.3743","null","null","null",0,4,"Bot","null","null",,,467092,,"180428_000858","-3.3326","-140.1261","-12.0226","8.0066","33.0994","-8.8495","3.3485","1.5999","null","null","null","96.6300","2361","6.5830",529798,605483,467092,543543,621002,622110,588751,608701,605480,460576,"53.9170","null","null","0.70",1,0,0,"null",27,"5","4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard"
"FF","2018-04-27","96.0","1.5285","6.7616","Blake Snell",605141,605483,"null","ball",,,,,"12","null","R","R","L","BOS","TB","B","null","null",2,1,2018,"0.5717","1.5594","1.3848","3.4908","null","null","null",0,4,"Bot","null","null",,,467092,,"180428_000835","-1.6834","-139.6869","-6.5593","7.8625","34.7866","-10.4715","3.3887","1.6200","null","null","null","95.8190","2387","6.4300",529798,605483,467092,543543,621002,622110,588751,608701,605480,460576,"54.0708","null","null","null","null","null","null","null",27,"4","4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard"
"FF","2018-04-27","95.6","1.6929","6.6370","Blake Snell",605141,605483,"null","ball",,,,,"14","null","R","R","L","BOS","TB","B","null","null",1,1,2018,"0.2013","1.7231","1.2042","1.8088","null","null","null",0,4,"Bot","null","null",,,467092,,"180428_000817","-1.7593","-138.8991","-11.0545","3.0454","33.2558","-7.2753","3.4891","1.6200","null","null","null","95.9160","2372","6.7130",529798,605483,467092,543543,621002,622110,588751,608701,605480,460576,"53.7873","null","null","null","null","null","null","null",27,"3","4-Seam Fastball",0,4,0,4,4,0,0,4,"Standard","Standard"
"CH","2018-04-27","89.2","1.8040","6.5618","Blake Snell",605141,605483,"null","swinging_strike",,,,,"14","null","R","R","L","BOS","TB","S","null","null",1,0,2018,"0.9786","1.0367","0.6418","0.9928","null","null","null",0,4,"Bot","null","null",,,467092,,"180428_000759","-4.9901","-129.5260","-9.9132","12.2396","28.0718","-18.4029","3.1074","1.2581","null","null","null","89.7210","1893","6.8120",529798,605483,467092,543543,621002,622110,588751,608701,605480,460576,"53.6888","null","null","null","null","null","null","null",27,"2","Changeup",0,4,0,4,4,0,0,4,"Standard","Standard"
"CU","2018-04-27","77.9","1.4880","6.8693","Blake Snell",605141,605483,"null","ball",,,,,"12","null","R","R","L","BOS","TB","B","null","null",0,0,2018,"-0.3520","-1.1857","0.3926","3.7198","null","null","null",0,4,"Bot","null","null",,,467092,,"180428_000744","-1.7045","-113.3101","2.3734","-2.6331","23.1939","-42.9584","3.3485","1.5396","null","null","null","77.2770","2436","6.1420",529798,605483,467092,543543,621002,622110,588751,608701,605480,460576,"54.3588","null","null","null","null","null","null","null",27,"1","Curveball",0,4,0,4,4,0,0,4,"Standard","Standard"
"CH","2018-04-27","88.9","1.9576","6.5907","Blake Snell",605141,605483,"field_out","hit_into_play",,,,,"12","Mookie Betts grounds out, shortstop Adeiny Hechavarria to first baseman Brad Miller.  ","R","R","L","BOS","TB","X",6,"ground_ball",1,1,2018,"1.2451","1.3523","1.0490","2.3467","null","null","null",0,1,"Bot","114.39","146.13",,,467092,,"180427_232128","-4.8462","-129.2447","-7.1784","14.9852","27.5736","-15.7075","3.1074","1.2580","14","76.3","-7.8360","88.9160","1834","6.4040",529798,605483,467092,543543,621002,622110,588751,608701,605480,460576,"54.0961","0.093","0.082","0.00",1,0,0,2,6,"3","Changeup",0,2,0,2,2,0,0,2,"Standard","Standard"
